stage,tissue,rep,reps,time,SL.ID,forebrain,midbrain,hindbrain,cranioface,neural.tube,liver,heart,limb,stomach,intestine,kidney,lung
e14.5,neural.tube,2,34,14.5,SL113832,0,0,0,0,1,0,0,0,0,0,0,0
e15.5,neural.tube,1,35,15.5,SL139113,0,0,0,0,1,0,0,0,0,0,0,0
e15.5,neural.tube,2,35,15.5,SL139114,0,0,0,0,1,0,0,0,0,0,0,0
P0,neural.tube,1,36,18.5,SL113843,0,0,0,0,1,0,0,0,0,0,0,0
P0,neural.tube,2,36,18.5,SL113844,0,0,0,0,1,0,0,0,0,0,0,0
e11.5,liver,1,37,11.5,SL107910,0,0,0,0,0,1,0,0,0,0,0,0
e11.5,liver,2,37,11.5,SL107911,0,0,0,0,0,1,0,0,0,0,0,0
e12.5,liver,1,38,12.5,SL236327,0,0,0,0,0,1,0,0,0,0,0,0
e12.5,liver,2,38,12.5,SL236328,0,0,0,0,0,1,0,0,0,0,0,0
e13.5,liver,1,39,13.5,SL139074,0,0,0,0,0,1,0,0,0,0,0,0
e13.5,liver,2,39,13.5,SL139075,0,0,0,0,0,1,0,0,0,0,0,0
e14.5,liver,1,40,14.5,SL113819,0,0,0,0,0,1,0,0,0,0,0,0
e14.5,liver,2,40,14.5,SL113820,0,0,0,0,0,1,0,0,0,0,0,0
e15.5,liver,1,41,15.5,SL139088,0,0,0,0,0,1,0,0,0,0,0,0
e15.5,liver,2,41,15.5,SL139089,0,0,0,0,0,1,0,0,0,0,0,0
e16.5,liver,1,42,16.5,SL139092,0,0,0,0,0,1,0,0,0,0,0,0
e16.5,liver,2,42,16.5,SL139093,0,0,0,0,0,1,0,0,0,0,0,0
P0,liver,1,43,18.5,SL113851,0,0,0,0,0,1,0,0,0,0,0,0
P0,liver,2,43,18.5,SL113852,0,0,0,0,0,1,0,0,0,0,0,0
e10.5,heart,1,44,10.5,SL236340,0,0,0,0,0,0,1,0,0,0,0,0
e10.5,heart,2,44,10.5,SL236341,0,0,0,0,0,0,1,0,0,0,0,0
e11.5,heart,1,45,11.5,SL107908,0,0,0,0,0,0,1,0,0,0,0,0
e11.5,heart,2,45,11.5,SL107909,0,0,0,0,0,0,1,0,0,0,0,0
e12.5,heart,1,46,12.5,SL236348,0,0,0,0,0,0,1,0,0,0,0,0
e12.5,heart,2,46,12.5,SL236349,0,0,0,0,0,0,1,0,0,0,0,0
e13.5,heart,1,47,13.5,SL139070,0,0,0,0,0,0,1,0,0,0,0,0
e13.5,heart,2,47,13.5,SL139071,0,0,0,0,0,0,1,0,0,0,0,0
e14.5,heart,1,48,14.5,SL113825,0,0,0,0,0,0,1,0,0,0,0,0
e14.5,heart,2,48,14.5,SL113826,0,0,0,0,0,0,1,0,0,0,0,0
e15.5,heart,1,49,15.5,SL139084,0,0,0,0,0,0,1,0,0,0,0,0
e15.5,heart,2,49,15.5,SL139085,0,0,0,0,0,0,1,0,0,0,0,0
e16.5,heart,1,50,16.5,SL139121,0,0,0,0,0,0,1,0,0,0,0,0
e16.5,heart,2,50,16.5,SL139122,0,0,0,0,0,0,1,0,0,0,0,0
P0,heart,1,51,18.5,SL113847,0,0,0,0,0,0,1,0,0,0,0,0
P0,heart,2,51,18.5,SL113848,0,0,0,0,0,0,1,0,0,0,0,0
e10.5,limb,1,52,10.5,SL236342,0,0,0,0,0,0,0,1,0,0,0,0
e10.5,limb,2,52,10.5,SL236343,0,0,0,0,0,0,0,1,0,0,0,0
e11.5,limb,1,53,11.5,SL108092,0,0,0,0,0,0,0,1,0,0,0,0
e11.5,limb,2,53,11.5,SL108093,0,0,0,0,0,0,0,1,0,0,0,0
e12.5,limb,1,54,12.5,SL236350,0,0,0,0,0,0,0,1,0,0,0,0
e12.5,limb,2,54,12.5,SL236324,0,0,0,0,0,0,0,1,0,0,0,0
e13.5,limb,1,55,13.5,SL139072,0,0,0,0,0,0,0,1,0,0,0,0
e13.5,limb,2,55,13.5,SL139073,0,0,0,0,0,0,0,1,0,0,0,0
e14.5,limb,1,56,14.5,SL113823,0,0,0,0,0,0,0,1,0,0,0,0
e14.5,limb,2,56,14.5,SL113824,0,0,0,0,0,0,0,1,0,0,0,0
e15.5,limb,1,57,15.5,SL139109,0,0,0,0,0,0,0,1,0,0,0,0
e15.5,limb,2,57,15.5,SL139110,0,0,0,0,0,0,0,1,0,0,0,0
